観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),21日の最大値(m/s),21日の最大値の品質情報,21日の最大値観測時の風向,21日の最大値観測時の風向の品質情報,21日の最大値起時（時）,21日の最大値起時（分）,21日の最大値起時の品質情報,極値更新,10年未満での極値更新,20日までの観測史上1位の値(m/s),20日までの観測史上1位の値の品質情報,20日までの観測史上1位の値観測時の風向,20日までの観測史上1位の値観測時の風向の品質情報,20日までの観測史上1位の値観測時の年,20日までの観測史上1位の値観測時の月,20日までの観測史上1位の値観測時の日,20日までの2月の1位の値（m/s）,20日までの2月の1位の値の品質情報,20日までの2月の1位の値観測時の風向,20日までの2月の1位の値観測時の風向の品質情報,20日までの2月の1位の値観測時の年,20日までの2月の1位の値観測時の月,20日までの2月の1位の値観測時の日,統計開始年
12551,北海道上川地方,美瑛（ビエイ）,,2024,02,21,09,00,7.0,4,西南西,4,08,23,4,,,31.5,8,南東,8,2015,03,10,17.1,8,南,8,2021,02,01,2008
12596,北海道上川地方,上富良野（カミフラノ）,,2024,02,21,09,00,6.0,4,西北西,4,01,59,4,,,27.1,8,南,8,2020,08,07,21.5,8,南西,8,2009,02,13,2008
12626,北海道上川地方,富良野（フラノ）,,2024,02,21,09,00,7.0,4,北北西,4,01,06,4,,,27.1,8,西南西,8,2010,03,21,21.7,4,南南西,4,2021,02,16,2008
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,02,21,09,00,5.4,4,北北東,4,03,52,4,,,27.1,8,東南東,8,2013,04,07,22.4,8,東南東,8,2016,02,29,2008
12691,北海道上川地方,幾寅（イクトラ）,,2024,02,21,09,00,9.6,4,西北西,4,04,35,4,,,24.6,8,西南西,8,2010,03,21,24.3,8,北北西,8,2014,02,17,2008
12746,北海道上川地方,占冠（シムカップ）,,2024,02,21,09,00,7.2,4,南,4,08,14,4,,,23.0,8,南東,8,2018,09,05,21.2,8,西,8,2021,02,16,2009
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,02,21,09,00,8.4,4,南南西,4,00,33,4,,,25.9,8,南,8,2015,10,02,20.2,4,南,4,2021,02,16,2008
15076,北海道上川地方,幌加内（ホロカナイ）,,2024,02,21,09,00,10.5,4,西,4,00,55,4,,,27.7,8,西,8,2010,03,21,24.0,8,西,8,2015,02,09,2009
13061,北海道留萌地方,天塩（テシオ）,,2024,02,21,09,00,14.6,4,西北西,4,00,50,4,,,36.8,8,南南西,8,2015,10,02,29.1,8,西,8,2021,02,16,2008
13086,北海道留萌地方,遠別（エンベツ）,,2024,02,21,09,00,15.9,4,西,4,00,35,4,,,30.9,8,西,8,2015,10,02,27.8,8,西,8,2021,02,16,2008
13121,北海道留萌地方,初山別（ショサンベツ）,,2024,02,21,09,00,17.8,4,北西,4,01,37,4,,,36.3,8,南西,8,2010,12,12,30.3,8,西南西,8,2021,02,16,2008
13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,02,21,09,00,,1,,1,,,,,,37.9,8,西南西,8,2012,12,06,29.6,8,西,8,2021,02,16,2008
13181,北海道留萌地方,羽幌（ハボロ）,47404,2024,02,21,09,00,15.8,4,北西,4,04,36,4,,,46.9,8,南南西,8,2004,09,08,33.9,8,南,8,2004,02,26,1954
13261,北海道留萌地方,達布（タップ）,,2024,02,21,09,00,10.0,4,南西,4,01,32,4,,,27.9,4,南南西,4,2023,12,17,23.0,8,西南西,8,2021,02,16,2008
